team,seed,region,espn_id,games,avg_FGM,avg_FGA,avg_3PM,avg_3PA,avg_FTM,avg_FTA,avg_OREB,avg_DREB,avg_REB,avg_AST,avg_STL,avg_BLK,avg_TO,avg_PF,avg_PTS,avg_MIN,FG_PCT,3PT_PCT,FT_PCT
Duke,1,East,150,34,28.62,58.41,9.09,25.91,15.97,22.06,10.94,26.47,37.41,16.94,7.79,3.26,10.18,15.71,82.29,200.0,0.49,0.3508,0.7239
UConn,2,East,41,34,28.29,58.65,8.32,23.65,12.59,17.59,9.91,23.26,33.18,18.38,6.88,5.26,10.32,18.0,77.5,201.47,0.4824,0.3518,0.7157
Michigan State,3,East,127,32,27.56,58.56,7.66,21.31,16.16,21.19,11.16,25.75,36.91,18.47,5.12,4.09,10.81,16.28,78.94,201.56,0.4706,0.3595,0.7626
Kansas,4,East,2305,33,26.76,59.03,7.36,21.06,14.76,19.24,8.97,26.94,35.91,14.27,5.48,5.73,10.27,14.36,75.64,201.52,0.4533,0.3495,0.7672
St. John's,5,East,2599,34,27.94,61.56,6.91,20.79,18.76,25.79,10.94,23.76,34.71,16.26,7.91,4.88,10.06,17.29,81.56,200.71,0.4539,0.3324,0.7274
Louisville,6,East,97,33,28.73,61.09,11.52,32.27,15.73,20.45,10.03,26.09,36.12,17.09,6.88,3.33,11.33,18.42,84.7,200.0,0.4703,0.357,0.7692
UCLA,7,East,26,34,27.47,58.35,8.0,20.94,14.79,19.29,8.41,20.85,29.26,16.32,6.56,2.91,8.29,17.12,77.74,202.21,0.4708,0.382,0.7667
Ohio State,8,East,194,33,27.64,56.06,8.09,22.45,16.42,21.18,7.52,22.3,29.82,14.36,4.88,2.39,9.73,17.7,79.79,202.27,0.493,0.3604,0.7753
TCU,9,East,2628,33,27.15,60.61,7.39,22.33,16.61,23.45,10.27,22.09,32.36,15.64,7.7,4.55,10.36,16.3,78.3,202.33,0.4479,0.3309,0.7083
UCF,10,East,2116,32,29.38,63.03,7.84,21.69,14.38,19.44,10.59,23.12,33.72,15.75,5.66,3.0,10.88,17.5,80.97,201.56,0.4661,0.3615,0.7397
South Florida,11,East,58,33,28.97,66.0,9.64,29.03,20.15,27.09,12.55,25.12,37.67,17.18,9.18,4.12,10.76,19.55,87.73,203.79,0.4389,0.3321,0.7438
Northern Iowa,12,East,2460,35,26.17,54.89,7.77,21.91,9.8,14.03,5.71,22.66,28.37,15.03,6.46,3.11,8.89,15.26,69.91,201.43,0.4768,0.3546,0.6985
Cal Baptist,13,East,2856,33,25.61,59.3,6.42,19.06,15.39,21.42,11.82,23.97,35.79,10.33,5.48,2.88,11.42,18.7,73.03,202.3,0.4319,0.3368,0.7185
North Dakota State,14,East,2449,34,28.79,61.5,9.41,25.76,13.74,18.94,10.18,22.97,33.15,15.53,8.32,2.85,10.38,14.68,80.74,202.94,0.4681,0.3653,0.7254
Furman,15,East,231,34,27.47,57.74,8.88,27.15,12.65,18.32,9.32,25.26,34.59,15.65,4.79,3.29,11.35,15.09,76.47,202.21,0.4758,0.3271,0.6905
Siena,16,East,2561,34,25.29,55.35,5.38,17.68,14.56,18.94,8.74,22.29,31.03,13.41,5.79,3.12,9.68,13.74,70.53,200.74,0.4569,0.3043,0.7687
Arizona,1,West,12,34,30.56,60.85,5.88,16.32,19.15,26.09,11.59,28.15,39.74,16.94,7.82,4.24,10.53,16.0,86.15,200.74,0.5022,0.3603,0.734
