team,seed,region,espn_id,games,avg_FGM,avg_FGA,avg_3PM,avg_3PA,avg_FTM,avg_FTA,avg_OREB,avg_DREB,avg_REB,avg_AST,avg_STL,avg_BLK,avg_TO,avg_PF,avg_PTS,avg_MIN,FG_PCT,3PT_PCT,FT_PCT
UConn,1,Fort Worth 1,41,34,34.82,66.29,9.47,23.91,9.65,12.88,9.56,23.91,33.47,23.71,15.62,4.94,12.35,13.15,88.76,199.97,0.5253,0.3961,0.7492
Vanderbilt,2,Fort Worth 1,238,31,30.71,65.48,9.68,26.58,13.58,17.74,11.39,20.74,32.13,19.23,11.19,3.87,12.71,15.0,84.68,200.0,0.469,0.3642,0.7655
Ohio State,3,Fort Worth 1,194,33,30.42,66.7,8.06,23.24,12.79,16.73,10.3,22.94,33.24,18.12,11.7,4.55,13.0,16.15,81.7,200.76,0.4561,0.3468,0.7645
North Carolina,4,Fort Worth 1,153,33,28.64,62.85,8.39,23.24,9.76,14.09,10.12,24.58,34.7,15.97,8.85,3.58,13.52,16.3,75.42,203.03,0.4557,0.361,0.6927
Maryland,5,Fort Worth 1,120,31,29.97,65.58,6.9,20.97,15.42,20.06,13.35,24.26,37.61,16.58,10.16,3.48,15.1,15.97,82.26,204.03,0.457,0.329,0.7687
Notre Dame,6,Fort Worth 1,87,32,29.59,63.56,6.47,18.34,12.25,15.56,8.81,21.97,30.78,14.44,13.38,3.16,12.41,15.44,77.91,200.78,0.4655,0.3528,0.7873
Illinois,7,Fort Worth 1,356,32,28.19,61.62,6.25,17.31,14.84,18.22,9.12,22.81,31.94,15.75,7.03,2.34,12.22,17.72,77.47,200.0,0.4575,0.3611,0.8145
Iowa State,8,Fort Worth 1,66,31,29.45,61.52,8.42,23.06,15.0,20.26,8.77,25.87,34.65,20.03,6.35,2.42,12.55,15.55,82.32,200.0,0.4787,0.3651,0.7404
Syracuse,9,Fort Worth 1,183,31,28.19,66.42,5.35,17.03,12.74,17.55,14.52,23.03,37.55,14.65,10.58,5.42,15.23,15.52,74.48,204.03,0.4244,0.3142,0.7259
Colorado,10,Fort Worth 1,38,33,24.88,58.61,4.12,14.94,13.94,19.12,10.7,23.48,34.18,13.76,9.45,2.85,15.76,17.64,67.82,200.76,0.4245,0.2758,0.7291
Fairfield,11,Fort Worth 1,2217,32,27.09,59.62,11.38,30.78,9.94,13.09,7.84,20.94,28.78,17.28,9.59,3.12,12.62,16.56,75.5,199.97,0.4544,0.3697,0.7594
Murray State,12,Fort Worth 1,93,34,29.0,65.59,8.35,26.38,19.76,24.74,10.62,26.56,37.18,14.68,6.65,2.53,12.24,15.97,86.12,202.94,0.4421,0.3165,0.7987
Western Illinois,13,Fort Worth 1,2710,31,27.13,58.45,5.26,15.03,16.35,20.87,8.0,25.65,33.65,12.61,8.03,3.26,10.97,13.65,75.87,201.61,0.4642,0.35,0.7834
Howard,14,Fort Worth 1,47,33,23.42,59.06,4.39,14.7,15.7,21.67,10.3,23.21,33.52,11.91,10.12,4.03,14.45,16.3,66.94,200.0,0.3965,0.2986,0.7245
High Point,15,Fort Worth 1,2272,32,26.75,59.75,7.81,23.62,12.91,17.84,7.84,24.94,32.78,15.0,9.69,3.66,14.03,13.78,74.22,202.38,0.4477,0.3307,0.7237
UTSA,16,Fort Worth 1,2636,33,22.21,56.33,4.33,14.79,11.21,16.15,10.85,25.12,35.97,13.36,7.3,3.52,16.88,15.82,59.97,200.0,0.3943,0.2928,0.6941
UCLA,1,Sacramento 1,26,32,32.78,63.91,7.56,20.16,12.0,15.34,11.94,26.44,38.38,22.31,8.56,4.28,12.41,14.06,85.12,200.0,0.5129,0.375,0.7823
LSU,2,Sacramento 1,99,32,35.66,70.66,5.78,15.16,17.38,23.62,15.41,28.56,43.97,18.31,11.44,5.62,14.56,16.62,94.47,200.0,0.5047,0.3813,0.7358
Duke,3,Sacramento 1,150,32,27.78,63.09,6.44,19.03,12.12,17.75,11.94,25.25,37.19,17.12,9.19,6.25,14.47,14.28,74.12,200.78,0.4403,0.3384,0.6828
Minnesota,4,Sacramento 1,135,30,28.77,63.97,6.57,18.93,10.83,14.43,11.27,24.4,35.67,16.5,8.57,2.63,10.47,13.7,74.93,201.67,0.4497,0.3471,0.7505
Ole Miss,5,Sacramento 1,145,34,26.94,62.26,5.15,17.5,16.41,22.18,12.44,22.91,35.35,14.21,8.09,4.91,13.35,17.24,75.44,200.74,0.4327,0.2943,0.7399
Baylor,6,Sacramento 1,239,32,25.12,59.19,7.44,23.0,13.75,18.44,10.12,25.97,36.09,15.25,7.0,6.22,15.88,15.84,71.44,200.75,0.4244,0.3235,0.7457
Texas Tech,7,Sacramento 1,2641,32,25.38,57.16,7.66,22.34,13.56,17.91,8.38,22.81,31.19,14.56,9.94,5.78,15.38,18.88,71.97,200.0,0.444,0.3429,0.7571
Oklahoma State,8,Sacramento 1,197,32,29.56,63.53,9.25,26.38,13.09,17.25,11.03,22.91,33.94,17.19,9.97,2.97,13.03,15.91,81.47,200.0,0.4653,0.3506,0.7588
Princeton,9,Sacramento 1,163,29,26.38,58.17,6.52,19.1,13.24,17.24,10.21,20.86,31.07,14.31,9.62,3.41,12.59,13.59,72.52,201.72,0.4535,0.3414,0.768
Villanova,10,Sacramento 1,222,32,27.34,62.44,8.62,24.94,8.53,10.91,7.66,24.09,31.75,17.91,9.88,3.94,12.75,16.03,71.84,200.0,0.4379,0.3456,0.7819
Nebraska,11,Sacramento 1,158,30,29.33,61.6,7.73,22.1,12.93,16.43,8.93,21.37,30.3,18.37,8.67,3.57,13.3,16.53,79.33,200.0,0.4761,0.3498,0.787
Richmond,11,Sacramento 1,257,33,26.36,57.55,10.55,28.52,9.33,11.73,7.94,23.55,31.48,16.12,7.55,2.88,13.33,12.52,72.61,203.03,0.458,0.3699,0.7954
Gonzaga,12,Sacramento 1,2250,33,27.12,59.7,7.12,18.27,13.03,17.0,11.12,25.18,36.3,17.0,7.15,2.24,16.09,17.33,74.39,203.79,0.4543,0.3897,0.7665
Green Bay,13,Sacramento 1,2739,33,25.58,57.42,6.09,18.48,11.45,15.15,5.91,25.3,31.21,17.33,7.45,2.58,12.3,12.94,68.7,200.76,0.4455,0.3295,0.7558
Charleston,14,Sacramento 1,232,32,27.28,66.84,7.47,22.75,12.31,16.5,13.56,22.84,36.41,13.44,10.97,1.84,11.72,14.97,74.34,200.0,0.4081,0.3284,0.7461
Jacksonville,15,Sacramento 1,294,32,24.66,61.72,4.88,16.38,18.75,25.84,10.62,24.38,35.0,11.97,9.88,3.28,15.12,19.72,72.94,202.34,0.3995,0.2979,0.7256
Cal Baptist,16,Sacramento 1,2856,33,27.15,65.48,8.64,28.33,9.88,13.88,9.45,27.36,36.82,15.52,8.88,5.42,14.67,18.97,72.82,201.58,0.4146,0.305,0.7118
Texas,1,Fort Worth 2,251,34,33.21,66.44,4.29,12.68,14.26,19.71,12.76,22.12,34.88,18.06,11.79,4.85,11.38,17.18,84.97,200.0,0.4998,0.3383,0.7235
Michigan,2,Fort Worth 2,130,31,31.52,67.13,6.68,20.0,13.94,20.52,13.13,23.29,36.42,17.29,11.39,3.55,14.55,18.68,83.65,203.23,0.4695,0.334,0.6793
Louisville,3,Fort Worth 2,97,34,30.47,66.12,7.74,22.38,11.26,15.38,12.62,25.53,38.15,16.97,9.41,2.76,12.82,14.85,79.94,202.26,0.4608,0.3458,0.7321
West Virginia,4,Fort Worth 2,277,33,27.45,60.18,6.73,19.39,14.64,20.76,10.88,21.45,32.33,15.0,11.24,2.3,14.7,15.48,76.27,200.0,0.4561,0.3471,0.7052
Kentucky,5,Fort Worth 2,96,33,27.91,62.48,8.52,25.67,11.3,16.36,10.94,25.48,36.42,17.18,5.36,6.58,12.27,15.27,75.64,200.0,0.4467,0.3319,0.6907
Alabama,6,Fort Worth 2,333,33,25.18,57.39,8.18,22.7,11.58,16.0,8.52,24.52,33.03,13.91,7.61,4.67,14.12,16.09,70.12,200.0,0.4388,0.3604,0.7238
NC State,7,Fort Worth 2,152,30,29.77,66.27,6.03,19.13,11.63,15.27,10.17,28.77,38.93,14.4,6.83,3.53,12.17,12.13,77.2,202.5,0.4492,0.3152,0.7616
Oregon,8,Fort Worth 2,2483,34,27.56,60.91,6.71,19.59,12.91,16.65,8.62,23.44,32.06,16.97,10.32,3.68,14.71,16.32,74.74,202.94,0.4525,0.3425,0.7754
Virginia Tech,9,Fort Worth 2,259,32,26.62,65.19,5.47,17.78,14.16,19.06,11.72,24.75,36.47,15.53,7.84,4.81,13.22,16.91,72.88,201.56,0.4083,0.3076,0.7429
Tennessee,10,Fort Worth 2,2633,29,27.83,67.34,9.41,30.38,11.9,17.76,13.07,22.72,35.79,13.66,10.41,3.62,15.07,19.14,76.97,200.86,0.4133,0.3097,0.67
Rhode Island,11,Fort Worth 2,227,32,24.78,58.28,5.38,18.28,12.72,16.5,10.44,24.75,35.19,12.94,6.75,3.25,10.69,13.75,67.66,200.0,0.4252,0.2943,0.7709
James Madison,12,Fort Worth 2,256,34,28.21,62.65,6.35,20.15,12.0,17.59,10.91,26.68,37.59,15.35,9.12,3.79,14.47,15.65,74.76,201.47,0.4503,0.3151,0.6822
Miami (OH),13,Fort Worth 2,193,34,25.35,56.88,8.59,24.32,11.71,15.41,7.12,22.03,29.15,16.0,10.65,3.74,14.85,17.85,71.0,200.74,0.4457,0.3532,0.7599
Vermont,14,Fort Worth 2,261,34,25.59,56.24,6.15,18.09,8.44,11.56,7.32,22.65,29.97,11.88,6.56,3.12,9.94,12.56,65.76,201.47,0.455,0.34,0.7301
Holy Cross,15,Fort Worth 2,107,32,23.06,55.88,5.22,18.53,9.97,13.28,7.47,25.31,32.78,14.81,7.53,3.47,13.81,13.12,61.31,201.56,0.4127,0.2817,0.7508
Missouri State,16,Fort Worth 2,2623,34,22.65,55.79,4.18,14.0,16.21,21.71,9.68,25.41,35.09,12.24,7.32,2.79,16.91,17.24,65.68,200.74,0.406,0.2986,0.7467
Stephen F. Austin,16,Fort Worth 2,2617,34,26.91,61.09,8.32,25.29,13.15,17.71,9.56,26.24,35.79,17.0,9.12,5.0,17.47,16.56,75.29,201.47,0.4405,0.329,0.7425
South Carolina,1,Sacramento 2,2579,34,32.79,64.71,6.06,16.32,14.65,20.29,11.44,26.56,38.0,18.0,9.47,6.09,12.26,12.68,86.29,200.74,0.5067,0.3713,0.722
Iowa,2,Sacramento 2,2294,32,29.31,60.0,6.84,18.91,11.38,16.47,8.53,26.19,34.72,20.78,7.72,3.19,14.56,14.06,76.84,200.78,0.4885,0.3617,0.691
TCU,3,Sacramento 2,2628,34,28.94,61.5,9.0,25.35,10.71,13.88,9.32,28.03,37.35,16.68,7.29,5.18,13.41,15.65,77.59,200.76,0.4706,0.355,0.7716
Oklahoma,4,Sacramento 2,201,31,32.52,72.19,6.61,22.61,15.03,20.68,14.03,29.48,43.52,20.0,10.03,5.03,16.03,18.74,86.68,201.61,0.4505,0.2923,0.7268
Michigan State,5,Sacramento 2,127,30,30.53,63.53,7.53,20.43,14.43,20.0,10.5,21.87,32.37,18.17,11.57,4.0,12.63,16.07,83.03,200.83,0.4806,0.3686,0.7215
Washington,6,Sacramento 2,264,31,27.32,60.84,7.39,21.74,9.68,13.26,11.03,24.84,35.87,14.1,6.9,4.03,14.03,15.81,71.71,203.23,0.449,0.3399,0.73
Georgia,7,Sacramento 2,61,30,27.27,60.57,6.87,20.27,12.4,17.23,8.83,24.57,33.4,13.9,8.17,2.8,13.63,17.73,73.8,201.67,0.4502,0.3389,0.7197
Clemson,8,Sacramento 2,228,32,24.72,57.25,8.06,23.59,10.19,15.22,9.5,23.44,32.94,12.94,6.38,2.69,12.06,15.16,67.69,202.34,0.4318,0.3417,0.6695
USC,9,Sacramento 2,30,30,25.5,62.43,7.33,24.2,11.6,16.5,10.43,22.83,33.27,16.47,8.4,5.8,13.47,16.87,69.93,200.0,0.4085,0.3029,0.703
Virginia,10,Sacramento 2,258,30,28.1,63.27,6.4,20.0,12.67,17.83,12.87,25.53,38.4,17.2,8.3,6.67,13.6,16.4,75.27,205.0,0.4441,0.32,0.7106
Arizona State,10,Sacramento 2,9,34,24.74,58.21,4.44,15.18,12.62,17.35,8.88,23.35,32.24,14.76,9.47,2.88,16.03,18.26,66.53,201.5,0.425,0.2925,0.7274
South Dakota State,11,Sacramento 2,2571,33,28.15,58.18,7.09,20.18,13.18,17.73,8.55,26.67,35.21,15.97,7.18,3.94,13.09,12.91,76.58,200.0,0.4838,0.3513,0.7434
Colorado State,12,Sacramento 2,36,34,23.74,56.35,6.59,20.29,12.47,16.18,6.71,25.94,32.65,11.82,6.53,3.5,9.65,13.85,66.53,200.0,0.4213,0.3248,0.7707
Idaho,13,Sacramento 2,70,34,28.56,67.68,6.68,21.65,13.21,18.32,13.41,28.53,41.94,13.76,9.06,4.38,15.09,16.0,77.0,200.32,0.422,0.3085,0.7211
UC San Diego,14,Sacramento 2,28,32,26.34,61.72,6.25,20.09,12.16,16.97,7.59,23.06,30.66,14.31,10.66,2.91,12.5,15.16,71.09,203.12,0.4268,0.3111,0.7166
Fairleigh Dickinson,15,Sacramento 2,161,34,25.62,60.32,9.26,26.62,8.59,11.94,12.62,24.71,37.32,13.82,6.35,3.29,12.26,13.76,69.09,200.0,0.4247,0.3479,0.7194
Southern,16,Sacramento 2,2582,32,22.66,59.16,5.03,15.38,11.56,19.31,11.75,19.94,31.69,12.53,11.53,3.47,16.16,21.22,61.91,200.0,0.383,0.327,0.5987
Samford,16,Sacramento 2,2535,34,20.97,53.82,8.41,25.74,9.88,13.44,6.09,21.76,27.85,11.5,6.18,3.41,13.88,16.53,60.24,200.74,0.3896,0.3267,0.7351
